id,label,parent_label,label_manual,parent_label_manual
9975,Bean Sprout,Produce,NULL,NULL
9984,Bean Sprout,Sprout,NULL,NULL
9978,Bean Sprout,Vegetable,NULL,NULL
2772,Beanie,Cap,NULL,NULL
2774,Beanie,Clothing,NULL,NULL
2773,Beanie,Hat,NULL,NULL
5100,Bear,Animal,NULL,NULL
5102,Bear,Mammal,NULL,NULL
5101,Bear,Wildlife,NULL,NULL
2428,Beard,Face,NULL,NULL
2429,Beard,Person,NULL,NULL
344994,Beaver,Animal,NULL,NULL
344986,Beaver,Mammal,NULL,NULL
344982,Beaver,Rodent,NULL,NULL
344990,Beaver,Wildlife,NULL,NULL
299,Bed,Furniture,Indoor,NULL
1078,Bedroom,Indoors,NULL,NULL
1077,Bedroom,Room,NULL,NULL
2356,Bee,Animal,NULL,NULL
2357,Bee,Insect,NULL,NULL
2358,Bee,Invertebrate,NULL,NULL
18598,Bee Eater,Animal,NULL,NULL
18593,Bee Eater,Bird,NULL,NULL
181,Beer,Alcohol,NULL,NULL
182,Beer,Beverage,NULL,NULL
192,Beer Bottle,Alcohol,NULL,NULL
190,Beer Bottle,Beer,NULL,NULL
193,Beer Bottle,Beverage,NULL,NULL
191,Beer Bottle,Bottle,NULL,NULL
5498,Beer Glass,Alcohol,NULL,NULL
5496,Beer Glass,Beer,NULL,NULL
5497,Beer Glass,Beverage,NULL,NULL
5495,Beer Glass,Glass,NULL,NULL
119621,Bell Pepper,Food,NULL,NULL
119623,Bell Pepper,Pepper,NULL,NULL
119620,Bell Pepper,Plant,NULL,NULL
119622,Bell Pepper,Vegetable,NULL,NULL
4782,Bell Tower,Architecture,NULL,NULL
4781,Bell Tower,Building,NULL,NULL
4783,Bell Tower,Tower,NULL,NULL
2649,Belt,Accessories,NULL,NULL
161,Bench,Furniture,NULL,NULL
378,Bicycle,Transportation,NULL,NULL
377,Bicycle,Vehicle,NULL,NULL
380,Bike,Transportation,NULL,NULL
379,Bike,Vehicle,NULL,NULL
4624,Bikini,Clothing,NULL,NULL
4623,Bikini,Swimwear,NULL,NULL
388,Billboard,Advertisement,NULL,NULL
21442,Billiard Room,Indoors,NULL,NULL
21445,Billiard Room,Room,NULL,NULL
40452,Birch,Plant,NULL,NULL
40456,Birch,Tree,NULL,NULL
1096,Bird,Animal,NULL,NULL
2838,Birthday Cake,Cake,NULL,NULL
2837,Birthday Cake,Dessert,NULL,NULL
2836,Birthday Cake,Food,NULL,NULL
33945,Birthday Party,People,NULL,NULL
33943,Birthday Party,Person,NULL,NULL
4088,Biscuit,Food,NULL,NULL
54350,Bishop,Person,NULL,NULL
54351,Bishop,Priest,NULL,NULL
67524,Black Bear,Animal,NULL,NULL
67520,Black Bear,Bear,NULL,NULL
67523,Black Bear,Mammal,NULL,NULL
67522,Black Bear,Wildlife,NULL,NULL
3475,Black Cat,Animal,NULL,NULL
3474,Black Cat,Cat,NULL,NULL
3476,Black Cat,Mammal,NULL,NULL
3473,Black Cat,Pet,NULL,NULL
4605,Black Hair,Hair,NULL,NULL
231310,Black Widow,Animal,NULL,NULL
231322,Black Widow,Insect,NULL,NULL
231318,Black Widow,Invertebrate,NULL,NULL
231314,Black Widow,Spider,NULL,NULL
52986,Blackbird,Animal,NULL,NULL
52990,Blackbird,Bird,NULL,NULL
1195,Blade,Weapon,NULL,NULL
7867,Blazer,Clothing,NULL,NULL
7873,Blazer,Coat,NULL,NULL
7870,Blazer,Jacket,NULL,NULL
64380,Blender,Appliance,NULL,NULL
64379,Blender,Mixer,NULL,NULL
63379,Blizzard,Nature,NULL,NULL
63382,Blizzard,Outdoors,NULL,NULL
63380,Blizzard,Snow,NULL,NULL
63383,Blizzard,Storm,NULL,NULL
63381,Blizzard,Winter,NULL,NULL
4971,Blonde,Female,NULL,NULL
4975,Blonde,Girl,NULL,NULL
4972,Blonde,Kid,NULL,NULL
4974,Blonde,Person,NULL,NULL
4973,Blonde,Teen,NULL,NULL
4976,Blonde,Woman,NULL,NULL
188,Blossom,Plant,NULL,NULL
448,Blouse,Clothing,NULL,NULL
101108,Blow Dryer,Appliance,NULL,NULL
101110,Blow Dryer,Dryer,NULL,NULL
21397,Blue Jay,Animal,NULL,NULL
21404,Blue Jay,Bird,NULL,NULL
21400,Blue Jay,Jay,NULL,NULL
6447,Blueberry,Food,NULL,NULL
6444,Blueberry,Fruit,NULL,NULL
6442,Blueberry,Plant,NULL,NULL
21409,Bluebird,Animal,NULL,NULL
21412,Bluebird,Bird,NULL,NULL
15806,Bmx,Bicycle,NULL,NULL
15810,Bmx,Transportation,NULL,NULL
15808,Bmx,Vehicle,NULL,NULL
7020,Boar,Animal,NULL,NULL
7018,Boar,Hog,NULL,NULL
7021,Boar,Mammal,NULL,NULL
7019,Boar,Pig,NULL,NULL
3631,Boardwalk,Bridge,NULL,NULL
3630,Boardwalk,Building,NULL,NULL
2372,Boat,Transportation,NULL,NULL
2371,Boat,Vehicle,NULL,NULL
936,Bog,Land,NULL,NULL
939,Bog,Nature,NULL,NULL
938,Bog,Outdoors,NULL,NULL
937,Bog,Water,NULL,NULL
28829,Boiling,Pot,NULL,NULL
7377,Bomb,Weapon,NULL,NULL
53395,Bomber,Aircraft,NULL,NULL
53387,Bomber,Airplane,NULL,NULL
53393,Bomber,Transportation,NULL,NULL
